AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Zero
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Analyst Expectations,Expected LTG,-0.0276995850300044,-3.90493727812348
Price Momentum,5 Day Price Reversal,-0.0307766737272188,-1.83313804645533
Analyst Expectations,Analyst Earnings Estimate Diffusion,0.0449642507115188,3.30787200574379
Earnings Quality,Cash Conversion Cycle,-0.0504078929988603,-9.17622716021849
Price Momentum,Price Momentum,0.0544806651698558,3.40219214593815
Price Momentum,1M Price Reversal,-0.0574713717153096,-3.56653600525837
Price Momentum,1M Price High - 1M Price Low,-0.0611730869785196,-4.14789232795524
Historical Growth,1Y Chg in Sales Turnover,-0.0661013199147486,-7.02604585024534
Capital Efficiency,Long Term Debt to Equity Ratio,0.0872557977958935,26.0740091710382
Analyst Expectations,Number of EPS FY1 Revisions,0.107212234645934,6.37684149815971

Correlation (Factors)
,Analyst Expectations,Price Momentum,Analyst Expectations,Earnings Quality,Price Momentum,Price Momentum,Price Momentum,Historical Growth,Capital Efficiency,Analyst Expectations
Date,Expected LTG,5 Day Price Reversal,Analyst Earnings Estimate Diffusion,Cash Conversion Cycle,Price Momentum,1M Price Reversal,1M Price High - 1M Price Low,1Y Chg in Sales Turnover,Long Term Debt to Equity Ratio,Number of EPS FY1 Revisions
2011-06-30,0.0733115160232595,-0.0418796681658901,0.0691085652711664,-0.0636959032461038,-0.00757701533963048,-0.164066893667211,-0.191739651711489,-0.0753862361356102,0.113714184534074,0.104320878150284
2011-07-31,0.0539817844945935,-0.0404224738763892,0.0810087176618204,-0.096446045401526,0.049611845680344,-0.0540771495271376,-0.00868665108421137,-0.0526138072485153,0.0993568291894469,0.0574747319238528
2011-08-31,0.0187591663624014,0.0739987638940881,0.0933237090159845,-0.0839888743083681,-0.030892485703738,-0.258031052861468,-0.210470294709877,-0.0752195701957989,0.114031401775241,0.0883192605708537
2011-09-30,0.0176236289475339,-0.137855943284446,0.0604409698283726,-0.0844971590602928,0.0470546282487953,-0.148671589482774,-0.0829438541858366,-0.0736057479952561,0.107406747843078,0.0919915857663771
2011-10-31,0.0192449601544931,-0.00392662074937428,0.0192760067370412,-0.0861638040231742,0.179452493694716,0.0507552802990112,-0.0542289451465567,-0.0722357658167583,0.098501673478651,0.0306317283649072
2011-11-30,0.0372186908406045,-0.0178052731558007,0.0535096109642303,-0.0752952577530582,0.0758627521943726,-0.135109631327946,-0.182011300550023,-0.0580905234287446,0.0898365530954507,0.0613705732462507
2011-12-31,0.0368301539986687,0.024347767673364,0.0407182750485249,-0.0796254185228993,0.205046483510608,0.0334714321944579,-0.00753233645251054,-0.0634359734945495,0.0908921052383548,0.081791626864902
2012-01-31,0.0411164426000294,0.0254799658771314,-0.00677309643063214,-0.072287494607095,0.213024011206731,0.161169338476299,-0.00875440495624438,-0.0709344126051679,0.081527666301625,-0.00053691065340207
2012-02-29,0.0505264647164384,0.0283987463385878,0.0513398129087406,-0.0906186253042285,0.198239130559077,0.0226132604984549,0.0363521184327276,-0.0953892352904352,0.107173085295713,0.0566758623234892
2012-03-31,0.0531554181755132,-0.126388431833397,0.0825070976892807,-0.0865021138192949,0.0563932568772429,-0.0437672243116199,-0.0983730784395099,-0.0731849005388639,0.133757578937855,0.101861315118121
2012-04-30,0.0587365578357891,0.0319210646182474,0.063454466084865,-0.0881006159296714,0.102917140266591,-0.105229341753729,-0.0780555490944196,-0.0706141666290889,0.134115586824563,0.0920804062574607
2012-05-31,0.0383423700143151,0.0741577053226964,0.0679616479139449,-0.0899034271538551,0.145385425877648,-0.0653913863790585,0.04577953863028,-0.0810789304625941,0.109850462451243,0.0743540907201556
2012-06-30,0.0383017359939549,-0.0325932369686563,0.0231817193620175,-0.0909303850675395,0.0632244133305897,0.0111493292988408,-0.104358432187076,-0.0831962044144254,0.111498055644776,0.0815066119581121
2012-07-31,0.0559061212632793,-0.0353662928654514,0.0653108308242606,-0.0867964198633471,-0.0033671494633414,-0.108823966997459,-0.0885455076804965,-0.0763210384798095,0.113356852597076,0.0726438490037574
2012-08-31,0.0432815444401637,0.0071383088455108,0.0576845673090722,-0.0740498918200979,0.0730510642634466,0.0716460117022122,0.032724812180397,-0.0721518752270809,0.124283815240917,0.0752470041757469
2012-09-30,0.0308411233505456,-0.119150339172576,0.0360649395831661,-0.0777539511989547,-0.0212959493666105,0.0476918211011852,-0.033291316739996,-0.082617894430221,0.122286673198178,0.061807108129552
2012-10-31,0.0356948891382174,-0.0810991403108053,-0.0113077002402232,-0.0738027290358873,-0.0403832263783418,-0.0580453872146312,-0.0837140289558449,-0.096595086964141,0.123044684793191,-0.00439622864649372
2012-11-30,0.00937102315229787,0.0882886584499864,0.0422189637312812,-0.0722059215356369,0.0827785457153622,0.0227280401262611,0.0154553816654659,-0.087175399041437,0.105655883242299,0.043158618491069
2012-12-31,0.0152985143902139,0.0144849649217548,-0.0154300455277495,-0.0717371067937933,0.0574575058185197,0.0638733628575276,-0.00371617627558067,-0.0943081810915265,0.108923081870306,0.0257496751159162
2013-01-31,0.0117285896392043,0.0234189862645909,-0.0326369323958864,-0.0784335448304054,0.0290093671994253,0.0113811949051354,-0.0530554269768346,-0.094216017494398,0.104107605703348,-0.027946845443054
2013-02-28,0.0256215754975682,-0.0704597117141167,-0.00865550523351482,-0.0787778994427868,-0.0327680660386166,-0.0814677587866651,-0.0919691441057055,-0.102083699113924,0.107073587846845,-0.00911385771749374
2013-03-31,0.0223905977422336,-0.0903686646399916,0.106535806750256,-0.0839875776473083,-0.0126290594499269,-0.0452289394843869,-0.0964835339498485,-0.101805647460555,0.107274126297522,0.0862586554394729
