AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Volatility,12M Realized Price Volatility,-0.480531459090701,-72.7647070523772
Volatility,Volatility,-0.445842736745083,-62.7455286845594
Volatility,1M Realized Price Volatility,-0.381527351251647,-36.6590119889497
Volatility,90 Day Coefficient of Variation,-0.35731615747168,-33.2495283583911
Volatility,60M CAPM Beta,-0.224628022980929,-50.579837161468
Earnings Quality,Accrual Ratio - Cash Flows,-0.217076157632828,-60.6266409166685
Size,Log Market Cap,-0.180466777258457,-26.406043123395
Size,Size,-0.176347061472957,-26.882146377887
Size,Log TTM Sales,-0.119816165512465,-18.1946013359279
Earnings Quality,Working Capital Accruals,-0.108636203293095,-15.4104659063898

Correlation (Factors)
,Volatility,Volatility,Volatility,Volatility,Volatility,Earnings Quality,Size,Size,Size,Earnings Quality
Date,12M Realized Price Volatility,Volatility,1M Realized Price Volatility,90 Day Coefficient of Variation,60M CAPM Beta,Accrual Ratio - Cash Flows,Log Market Cap,Size,Log TTM Sales,Working Capital Accruals
2001-04-30,-0.497678513272009,-0.488540319464198,-0.452471119748645,-0.483046400303666,-0.335880076521246,-0.171085094227458,-0.401994491398722,-0.403615193046642,-0.307475132033426,-0.234007708738671
2001-05-31,-0.488508570155551,-0.476187073147495,-0.442843643519119,-0.448049621893508,-0.323154288138342,-0.165489465664863,-0.397913099619169,-0.397585976851245,-0.299864778056085,-0.224273829177885
2001-06-30,-0.386320255096797,-0.36682997682884,-0.327433611925208,-0.326555105946862,-0.248061748186539,-0.153400177904825,-0.262072306522305,-0.263067801314064,-0.183775671459992,-0.200432593053268
2001-07-31,-0.414443997738599,-0.38054361753686,-0.32179011695906,-0.334910832256492,-0.222006487201597,-0.161455997186852,-0.209880677045188,-0.226964237680003,-0.173624042221479,-0.224086255571994
2001-08-31,-0.433555925585493,-0.407387086535218,-0.342364827618947,-0.357576504899576,-0.249814283397164,-0.203075554596388,-0.234205149834822,-0.248024248316652,-0.189760438696742,-0.228636261577102
2001-09-30,-0.440708969256658,-0.416710226031161,-0.375115868905399,-0.384926658382343,-0.26581253269735,-0.203643955581381,-0.294130187536378,-0.285643231024673,-0.187898609985895,-0.226355744240983
2001-10-31,-0.442368263833936,-0.406559929738649,-0.340345325484874,-0.386459982058406,-0.269619677451925,-0.221869769108091,-0.268769409319998,-0.269610228679245,-0.184978782480649,-0.22755954826469
2001-11-30,-0.443447289427227,-0.432818073843164,-0.409124097406279,-0.3847802486984,-0.286470296747761,-0.239739377282271,-0.236386728339922,-0.238062640211145,-0.170629358768175,-0.20975533071149
2001-12-31,-0.441863289815791,-0.427074558610657,-0.392641961697791,-0.372681892993245,-0.289661847112621,-0.239845709070725,-0.226148605566498,-0.23520238568592,-0.176716189756506,-0.218706933412881
2002-01-31,-0.447425683254628,-0.429712246229201,-0.413549210245806,-0.349077361705342,-0.293624989435241,-0.257767002016524,-0.246545558917949,-0.246163486777908,-0.177332959611232,-0.226241188698718
