Quintile Returns,,,,,,,,,,,,,,,
Universe Name: S&P 500,,,,,,,,,,,,,,,
Factor Code: SUEC,,,,,,,,,,,,,,,
Factor Name: Standardized Unexpected Earnings,,,,,,,,,,,,,,,
Sector Name: Cross Sectional,,,,,,,,,,,,,,,
Weight Type: Equal Weighted,,,,,,,,,,,,,,,
Created Date: 2024-07-25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Q1,Q2,Q3,Q4,Q5,Spread,,Q1,Q2,Q3,Q4,Q5,,LS,
9/30/2014,-0.001504758,0.00502207,9.27256E-05,-0.002378047,-0.003806311,0.028156683,,0.946243304,1.086375483,0.939780936,0.947127751,1.017615459,,0.007400118,1.14081884
10/31/2014,0.012952642,0.002056905,0.003171943,-0.009346782,-0.009643208,-0.007274681,,0.958499655,1.088610055,0.942761867,0.938275154,1.007802382,,0.011403687,1.153828381
11/30/2014,0.00164618,0.00480524,0.001618207,0.004619398,-0.013977376,-0.008484729,,0.960077517,1.093841087,0.944287451,0.942609421,0.993715949,,0.000185841,1.15404281
12/31/2014,-0.000228678,0.001450058,4.49114E-05,0.004987231,-0.006256573,0.002347463,,0.959857969,1.09542722,0.94432986,0.947310432,0.987498693,,-0.003537172,1.149960761
1/31/2015,0.006827472,-0.007616743,-0.002492472,-0.000667889,-0.001002852,0.035835595,,0.966411373,1.087083633,0.941976145,0.946677733,0.986508378,,-0.006948854,1.141969852
2/28/2015,0.004811435,0.003252394,-0.008206124,9.51473E-05,-0.000868108,-0.052933786,,0.971061199,1.090619257,0.934246171,0.946767807,0.985651983,,0.003157246,1.145575332
3/31/2015,0.010648218,-0.002713707,0.003458005,-0.007216041,-0.003104219,0.023043372,,0.98140127,1.087659635,0.937476799,0.939935892,0.982592304,,0.004502334,1.150733095
4/30/2015,-0.009249737,-0.003598863,0.00026731,0.004208606,0.010709759,-0.025617816,,0.972323566,1.083745297,0.937727396,0.943891711,0.99311563,,-0.007807468,1.141748783
5/31/2015,0.015647935,0.007079172,-0.003818982,-0.010280159,-0.011761606,0.019209426,,0.987538422,1.091417316,0.934146232,0.934188355,0.981434996,,0.01735933,1.161568777
6/30/2015,0.016566319,-0.005056452,-0.004394034,-0.000274253,-0.006054899,0.044557789,,1.003898298,1.085898617,0.930041561,0.933932151,0.975492506,,-0.004782199,1.156013923
7/31/2015,0.005540206,0.002899516,-0.00297775,-0.005874503,-0.003510993,0.000777598,,1.009460102,1.089047198,0.92727213,0.928445764,0.972067559,,0.008774019,1.166156811
8/31/2015,-0.008473835,0.001338739,0.00272946,0.004872137,-0.000383614,0.045846847,,1.000906103,1.090505148,0.929803082,0.932969279,0.97169466,,-0.003533399,1.162036315
9/30/2015,0.004289514,0.009971169,0.001767062,-0.013273966,-0.002407898,0.040498877,,1.005199504,1.101378759,0.931446102,0.920585077,0.969354919,,0.023245135,1.189048005
10/31/2015,-0.004646927,0.003070205,0.004711854,0.005747622,-0.011991254,-0.066093518,,1.000528416,1.104760217,0.93583494,0.925876252,0.957731138,,-0.002677417,1.185864428
11/30/2015,0.004438546,0.008060925,0.000959821,-0.012414656,-0.000387198,0.002735411,,1.004969307,1.113665606,0.936733174,0.914381817,0.957360307,,0.020475581,1.210145691
12/31/2015,0.026930272,-0.013791122,-0.003097173,-0.009235257,-0.002636486,0.055340965,,1.032033404,1.098306908,0.933831949,0.905937266,0.954836239,,-0.004555865,1.204632431
1/31/2016,0.006137921,-0.011097324,0.003481724,-0.004183536,0.007435158,0.054833399,,1.038367944,1.08611864,0.937083293,0.902147245,0.961935598,,-0.006913788,1.196303857
2/29/2016,0.008357726,-0.005114678,-0.006473762,-0.005337952,0.009205582,-0.014009875,,1.047046338,1.080563494,0.931016839,0.897331626,0.970790775,,0.000223275,1.196570962
3/31/2016,-0.002824659,-0.002497477,0.003292036,0.012273216,-0.009881074,-0.074761997,,1.04408879,1.077864811,0.93408178,0.90834477,0.96119832,,-0.014770693,1.17889678
4/30/2016,-0.01354134,-0.005984391,-0.00133118,0.011125512,0.008689546,-0.036191975,,1.029950429,1.071414447,0.932838349,0.918450571,0.969550697,,-0.017109903,1.15872597
5/31/2016,0.000927377,-0.007713477,0.005954346,-0.002920069,0.005437936,-0.017933434,,1.030905581,1.063150115,0.938392791,0.915768631,0.974823051,,-0.004793408,1.153171724
6/30/2016,0.002470744,-0.002465644,-0.008004883,0.014495557,-0.00629084,0.008840013,,1.033452685,1.060528766,0.930881067,0.929043208,0.968690595,,-0.016961201,1.133612546
7/31/2016,-0.004359263,0.013172651,-0.007088133,-0.002578191,0.001938565,-0.049645593,,1.028947593,1.074498741,0.924282858,0.926647957,0.970568465,,0.015750842,1.151467898
8/31/2016,0.000200386,-0.004990658,-0.0014598,0.000668283,0.006112645,-0.007992375,,1.02915378,1.069136285,0.92293359,0.92726722,0.976501205,,-0.005658941,1.144951809
9/30/2016,0.006093892,0.000840551,-0.004345931,-0.002453879,0.000276116,0.00531485,,1.035425332,1.070034949,0.918922585,0.924991819,0.976770833,,0.003294429,1.148723772
10/31/2016,0.001534605,0.007807958,0.003335308,-0.01093842,0.001549622,0.024337238,,1.037014301,1.078389736,0.921987475,0.91487387,0.978284458,,0.018746377,1.170258181
11/30/2016,-0.003955676,0.001770752,0.009357892,-0.017342631,0.007516782,-0.063766259,,1.032912208,1.080299297,0.930615334,0.899007551,0.985638009,,0.019113383,1.192625774
12/31/2016,0.001434705,0.001761598,0.003503518,0.003400135,-0.008126196,-0.000798357,,1.034394132,1.08220235,0.933875761,0.902064298,0.977628521,,-0.001638537,1.190671612
1/31/2017,-0.001286963,0.006087285,-0.005988575,0.000391956,0.003088798,-0.025200475,,1.033062905,1.088790025,0.928283177,0.902417867,0.980648218,,0.00569533,1.19745288
2/28/2017,-0.00254803,0.00859724,0.006063487,-0.006899208,-0.008388653,-0.025431512,,1.03043063,1.098150614,0.93391181,0.896191899,0.972421901,,0.015496448,1.216009146
3/31/2017,0.00948341,0.00024089,-0.007124681,-0.001281282,-0.001307184,0.012050796,,1.040202626,1.098415147,0.927257986,0.895043624,0.971150766,,0.001522172,1.217860121
4/30/2017,0.001526521,0.002803558,0.000794727,0.003653971,-0.007304678,0.002268983,,1.041790517,1.101494617,0.927994903,0.898314088,0.964056823,,-0.000850414,1.216824436
5/31/2017,0.023438516,-0.008584681,-0.010271704,0.004637169,-0.007358161,0.026933368,,1.066208542,1.092038638,0.918462814,0.902479722,0.956963137,,-0.013221849,1.200735766
6/30/2017,-0.005555293,0.000751215,-0.003240031,0.005078581,0.00099488,-0.020264169,,1.060285441,1.092858993,0.915486966,0.907063038,0.957915201,,-0.004327366,1.195539743
7/31/2017,0.005521157,0.006125997,-0.000498898,-0.002413733,-0.006786306,-0.00332542,,1.066139443,1.099553844,0.915030231,0.90487363,0.951414495,,0.00853973,1.20574933
