AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Valuation,Dividends to Price Ratio,-0.136491287533134,-18.7242561836229
Valuation,Book to Price,-0.121723159857622,-17.7381648382113
Valuation,EBITDA to Enterprise Value,-0.0887041115687793,-10.3005330960502
Price Momentum,1M Price Reversal,-0.0809399808307729,-6.78297574432155
Earnings Quality,Cash Conversion Cycle,-0.0781489572932234,-11.7336267555116
Price Momentum,1M Price High - 1M Price Low,-0.0705695701166258,-5.96717165332653
Size,Log Market Cap,-0.068799630047221,-10.8596474051647
Volatility,1M Realized Price Volatility,-0.0598583199153308,-5.87469135121019
Volatility,12M Realized Price Volatility,-0.0425974888638898,-4.26600843606396
Price Momentum,5 Day Price Reversal,-0.0383585590620607,-3.09976087722191

Correlation (Factors)
,Valuation,Valuation,Valuation,Price Momentum,Earnings Quality,Price Momentum,Size,Volatility,Volatility,Price Momentum
Date,Dividends to Price Ratio,Book to Price,EBITDA to Enterprise Value,1M Price Reversal,Cash Conversion Cycle,1M Price High - 1M Price Low,Log Market Cap,1M Realized Price Volatility,12M Realized Price Volatility,5 Day Price Reversal
2005-05-31,-0.0498427250818916,-0.0445664212808912,-0.0680376591642042,-0.0106247919702325,-0.0760632524143904,-0.0542782230579889,-0.0865166548004295,-0.0238022273930269,0.0200188950746584,-0.0352886848587378
2005-06-30,-0.0499807720406676,-0.0995380633048391,-0.0635363847552425,-0.0825558655623434,-0.046963941529723,-0.0828119907993257,-0.078312401945743,0.0180615357429906,0.0329737977301625,-0.0758930277631207
2005-07-31,-0.0754222578587825,-0.0967687034516021,-0.0983371688973296,-0.280885727802055,0.0170660793768648,-0.247941840162999,-0.109475773293497,0.0494823600587904,0.00759999021104986,-0.154135901034412
2005-08-31,-0.0510323498664429,-0.162831744782406,-0.0355320908737624,-0.102148244363065,0.00684787444438169,-0.119839237450407,-0.154538335243601,-0.035741673495238,-0.058323599463094,-0.021834876298965
2005-09-30,-0.0310429931405397,-0.119806989856439,-0.0568331884345243,-0.13858064260982,-0.0361441286187827,-0.151210172978592,-0.155805768557901,-0.0910016952860825,-0.0856606626993106,-0.0990248320384387
2005-10-31,-0.0156063986888116,-0.135662091302674,-0.014448447416927,-0.249039798354651,-0.0555237138940025,-0.205509486993997,-0.0738410561388456,-0.0992806412603223,-0.0858791440655321,-0.10468747393377
2005-11-30,-0.062320727067456,-0.0472994812657075,0.00984103864831378,-0.0911328238345693,-0.0768813888352879,-0.0274135208440523,-0.0374368156343414,-0.0927150864731751,-0.0716932276217226,-0.0169369855184307
2005-12-31,-0.082476947173276,-0.0434160625645671,-0.0167125720869656,-0.0361976715678354,-0.076254625221407,-0.0230060546495248,-0.0307805158383805,-0.0587223936123363,-0.0363661478849318,0.00983974488674872
2006-01-31,-0.11480254741238,-0.0431794205588608,-0.0620705126172969,-0.191079689276966,-0.112939458023314,-0.147232872195781,0.0359560410713156,0.0599113708266216,0.0603161487365879,-0.0895209893719187
2006-02-28,-0.0574783576446765,-0.0457489561143518,-0.0367946972485797,-0.120078191814936,-0.100280624467841,-0.0852954172322251,-0.00275532486431273,0.0326289497775648,0.0396923494615241,0.00654519952679579
2006-03-31,-0.060975659929191,-0.0235871722607292,0.0150920102128497,-0.0113495471703852,-0.106128602113758,0.0349102383902756,-0.0232954521479104,-0.00499232566792715,0.0157432576844637,0.0476786053449648
2006-04-30,0.0222667680656624,-0.0152657050012179,-0.00202699562428692,-0.282804165409425,-0.0905571120814027,-0.228632540940513,-0.0944170098256179,-0.0199824386429888,-0.106956619152439,-0.186949702667904
